gene_name	C1000g.1	C1000g.2	C1000g.3	C1000g.4	C1000g.5	C300g.1	C300g.2	C300g.3	C300g.4	C300g.5	Anc.1	Anc.2	Anc.3	Anc.4	Anc.5	Mmp.1	Mmp.2.3	Mmp.3.3	Mmp.4.3	Mmp.5.3
MMP_RS00035	1218	1347	1008	1139	920	2416	1988	2262	1397	1878	761	682	1034	896	781	64	131	72	200	438
MMP_RS00040	6500	6217	5428	4636	4636	11372	8205	9440	7446	8688	4635	3760	5159	4479	4106	51	134	112	227	271
MMP_RS00045	2902	2769	2413	2236	1990	3672	3152	4342	3053	3029	9087	6812	7884	9637	7513	112	165	128	348	271
MMP_RS00050	163	158	163	148	94	160	197	141	156	156	628	502	582	663	583	26	42	34	47	30
MMP_RS00055	80	100	90	131	83	144	106	116	130	74	267	301	224	254	193	22	61	81	38	23
MMP_RS00060	2779	2519	2325	2346	1940	2913	2064	2554	1552	1909	4040	3014	4331	4252	3998	64	150	69	286	226
MMP_RS00065	652	603	505	346	373	709	588	779	654	643	1655	1052	771	1411	697	18	63	7	60	54
MMP_RS00070	544	492	398	335	448	451	425	440	361	362	2287	1624	2128	2367	1923	43	58	56	93	91
MMP_RS00075	368	328	300	249	311	393	349	327	342	321	626	542	621	690	617	24	59	37	71	116
MMP_RS00080	74	81	59	108	53	165	137	118	70	67	321	268	283	314	305	2	22	7	11	4
MMP_RS00085	338	256	239	280	193	463	362	389	271	282	986	736	1104	1024	993	59	111	79	110	56
MMP_RS00090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
MMP_RS00095	1264	997	988	911	873	1394	1087	1225	883	1099	2760	1972	2708	2759	2588	6	41	51	139	164
MMP_RS00100	187	160	178	155	131	228	208	142	151	170	1024	910	1171	1149	1061	18	30	24	58	40
MMP_RS00105	274	209	235	254	180	374	278	210	156	209	768	717	826	834	821	15	41	32	37	47
MMP_RS00110	206	168	159	185	120	242	187	209	109	155	377	352	431	444	396	7	20	24	64	71
MMP_RS00115	104	45	99	108	49	143	172	92	90	89	532	496	453	652	403	38	51	44	56	30
MMP_RS00120	96	146	128	77	87	235	159	154	126	144	87	54	94	121	63	2	13	2	11	7
MMP_RS00125	0	13	9	0	0	26	35	7	0	4	71	71	46	58	49	4	6	11	3	2
MMP_RS00130	1579	1680	933	1121	1017	2140	1830	1897	1395	1811	748	519	332	730	322	171	288	106	490	888
MMP_RS00135	106	102	93	30	29	183	110	129	90	107	598	373	404	462	375	3	11	4	24	14
MMP_RS00140	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	6	4	6
MMP_RS00145	1010	970	782	1000	654	1348	1082	1285	855	965	3401	2627	2374	3360	1891	43	104	51	168	206
MMP_RS00150	2373	1996	2118	1860	1317	2542	2169	2534	1490	1671	6227	4369	5398	6527	5441	22	43	44	139	57
MMP_RS00155	515	576	501	428	427	723	599	708	340	411	1646	1329	2012	1857	1881	10	24	31	32	57
MMP_RS00160	2240	1846	2461	2452	1891	2766	2812	2848	1878	1776	6535	4816	7041	7667	6957	134	277	210	411	229
MMP_RS00185	271	218	259	223	151	290	210	240	160	215	426	279	328	417	338	6	30	7	33	16
MMP_RS00190	54	86	75	65	63	111	49	56	30	51	342	289	193	308	184	10	7	2	0	22
MMP_RS00195	6793	6254	5299	5207	4700	3885	2863	2848	2378	2765	3054	2448	3037	2763	2438	17	69	21	200	135
MMP_RS00200	2785	2786	2310	2160	2272	6357	4390	5109	3489	4115	9036	7568	11125	9844	10030	25	70	43	146	56
MMP_RS00205	52	49	73	40	25	80	59	52	50	44	122	92	103	104	93	3	3	5	15	5
MMP_RS00210	18	0	4	12	0	14	0	5	0	4	0	0	0	0	0	0	0	0	0	1
MMP_RS00215	794	507	569	474	352	758	443	524	504	585	1992	1257	984	1353	918	2	23	4	54	38
